StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q13,Q14,Q18,Q15,Q16,Q17,Q1,Q2,Q3,Q4,Q5,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Select your section:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] was well prepared:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] was helpful:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] was considerate of students:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] was easily understood:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] was an effective instructor:,"Please comment below on what [QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] did well and your suggestions for improving the course and the teaching effectiveness of [QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices].  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded)."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID20""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}"
3/22/2023 11:59,3/22/2023 12:00,IP Address,128.189.221.6,100,24,TRUE,3/22/2023 12:00,R_1djnsn9bjh22Pvs,,,,,49.2359,-123.153,anonymous,EN,L26 (Thursday AM),,,,,TA1,,Strongly Agree,Agree,Agree,Agree,Agree,Chem labs have always caused a lot of stress for me and having he  as my TA significantly reduced my stress. He never made me feel bad about not knowing something and always made sure to work through my confusion with me in a productive manner. He explained things in a way that made sense to me.
3/22/2023 11:59,3/22/2023 12:00,IP Address,24.244.23.89,100,21,TRUE,3/22/2023 12:00,R_3Etpfq82LaYea8K,,,,,49.245,-123.1337,anonymous,EN,L26 (Thursday AM),,,,,TA2,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I think she was my favourite TA that I have ever had! She was always kind and easy to approach when I had questions, and worked through them with me by asking about my thought process. I think this really helped solidify some of my understanding with the concepts, as opposed to if I were just given the answers! :)"
3/22/2023 11:59,3/22/2023 12:02,IP Address,154.5.124.117,100,210,TRUE,3/22/2023 12:02,R_2woDWTC0bgkHCrH,,,,,49.2584,-123.1456,anonymous,EN,L27 (Thursday PM),,,,,,TA3,Agree,Disagree,Neutral,Strongly Agree,Neutral,She was helpful and non-judgemental
3/22/2023 12:05,3/22/2023 12:06,IP Address,206.12.161.21,100,68,TRUE,3/22/2023 12:06,R_DJl8UAEjVSw5i9P,,,,,49.4635,-122.822,anonymous,EN,L26 (Thursday AM),,,,,TA4,,Stongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,increased enthusiasm would be more helpful to lab morale
3/22/2023 12:18,3/22/2023 12:22,IP Address,206.87.120.207,100,210,TRUE,3/22/2023 12:22,R_1hSzcrQpBdZ7AGe,,,,,49.4635,-122.822,anonymous,EN,L25 (Wednesday PM),,,,TA5,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
3/22/2023 12:23,3/22/2023 12:25,IP Address,128.189.130.191,100,123,TRUE,3/22/2023 12:25,R_2QSQgAOJOniIy0h,,,,,49.2476,-123.1234,anonymous,EN,L23 (Tuesday PM),,TA6,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I think she was my favourite TA that I have ever had! She was always kind and easy to approach when I had questions, and worked through them with me by asking about my thought process. I think this really helped solidify some of my understanding with the concepts, as opposed to if I were just given the answers! :)"
3/22/2023 12:34,3/22/2023 12:37,IP Address,206.12.160.207,100,228,TRUE,3/22/2023 12:37,R_6fW15iQPM5sENTb,,,,,49.245,-123.1337,anonymous,EN,L27 (Thursday PM),,,,,,TA7,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
3/22/2023 12:43,3/22/2023 12:43,IP Address,206.12.14.250,100,18,TRUE,3/22/2023 12:43,R_3jSV53h1uDi9ak5,,,,,49.4635,-122.822,anonymous,EN,L25 (Wednesday PM),,,,TA7,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,"I enjoyed having her as my TA. I was honestly a little intimidated by her in the beginning of the term, but she was really helpful during the labs!"
3/22/2023 12:49,3/22/2023 12:50,IP Address,66.183.117.24,100,59,TRUE,3/22/2023 12:50,R_2PicQgLkBkrmjdC,,,,,49.1836,-123.1164,anonymous,EN,L25 (Wednesday PM),,,,TA1,,,Strongly Agree,Agree,Agree,Agree,Agree,
3/22/2023 13:11,3/22/2023 13:12,IP Address,206.12.136.91,100,54,TRUE,3/22/2023 13:12,R_2f3OVXgi1v29ayU,,,,,49.4635,-122.822,anonymous,EN,L24 (Wednesday AM),,,TA8,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Marking scheme ambiguous and often seems she was lurking solely to find a reason to justify the inevitable loss of technique marks. Didn't feel comfortable asking any questions as I knew it would result in an even lower technique mark.
3/22/2023 13:12,3/22/2023 13:14,IP Address,207.216.17.40,100,123,TRUE,3/22/2023 13:14,R_2En6lAaYARuxncm,,,,,49.1888,-122.8439,anonymous,EN,L23 (Tuesday PM),,TA9,,,,,Agree,Disagree,Neutral,Strongly Agree,Neutral,"He  was always prepared and able to help, however he wasn't often very willing to help. I would have found 235 labs more achievable if I felt that asking questions or for help would not lead to a lower technique grade. In later labs, He was more willing to help, but overall I wish he had been a bit more enthusiastic."
3/22/2023 13:17,3/22/2023 13:17,IP Address,206.12.65.11,100,49,TRUE,3/22/2023 13:17,R_33EwDkChPMuoRve,,,,,49.282,-123.1103,anonymous,EN,L27 (Thursday PM),,,,,,TA10,Stongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"He was very helpful within the lab, never made us feel bad or embarrassed about broken glassware or accidental spills, and instead worked with us to problem solve and create a solution that would allow us to complete the experiment. He was always very friendly and welcoming and created for a great lab space that I felt very comfortable within."
3/22/2023 13:18,3/22/2023 13:21,IP Address,206.12.65.11,100,174,TRUE,3/22/2023 13:21,R_3nu6S4gz6Hq6spS,,,,,49.282,-123.1103,anonymous,EN,L27 (Thursday PM),,,,,,TA11,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,
3/22/2023 13:31,3/22/2023 13:33,IP Address,128.189.140.21,100,87,TRUE,3/22/2023 13:33,R_3JmwPPmIVNiCumx,,,,,49.4635,-122.822,anonymous,EN,L24 (Wednesday AM),,,TA12,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,He was always very kind and helpful during the labs. I have no suggestions for improvement.
