StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q16,Q14,Q17,Q1,Q2,Q3,Q4,Q5,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Select your section:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,The TA was well prepared:,The TA was helpful:,The TA was considerate of students:,The TA was was easily understood:,The TA was  was an effective instructor:,"Please comment below on what [QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID21-ChoiceGroup-SelectedChoices] did well and your suggestions for improving the course and the teaching effectiveness of the TA.  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded)."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID18""}","{""ImportId"":""QID16""}","{""ImportId"":""QID19""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}"
11/30/2023 15:02,11/30/2023 15:03,IP Address,128.189.202.161,100,49,TRUE,11/30/2023 15:03,R_27Cf7uVBK4bE7sB,,,,,49.2584,-123.1456,anonymous,EN,L17 (Thursday PM),TA1,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The best TA! 
11/30/2023 15:02,11/30/2023 15:03,IP Address,206.87.217.103,100,74,TRUE,11/30/2023 15:03,R_6h6tyswbzNgSOdz,,,,,49.2643,-123.0961,anonymous,EN,L17 (Thursday PM),TA1,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,She was always clear with instructions and was a super nice TA
11/30/2023 15:02,11/30/2023 15:03,IP Address,206.12.142.37,100,76,TRUE,11/30/2023 15:04,R_1ilzVIh71bEsDA0,,,,,49.2765,-123.1247,anonymous,EN,L17 (Thursday PM),TA2,,,Agree,Agree,Agree,Agree,Agree,
11/30/2023 15:02,11/30/2023 15:04,IP Address,128.189.83.35,100,97,TRUE,11/30/2023 15:04,R_2uDX0gPhPruVWaR,,,,,49.2574,-123.0319,anonymous,EN,L17 (Thursday PM),TA2,,,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,He gave good criticism that helped me develop my lab skills. From his criticism I recognized errors in my work and weaknesses when performing practical activities. Overall a very good TA and I was very lucky to be in the B group
11/30/2023 15:02,11/30/2023 15:04,IP Address,206.87.122.10,100,96,TRUE,11/30/2023 15:04,R_2R7U2GjpxOmFocG,,,,,49.2492,-123.1924,anonymous,EN,L17 (Thursday PM),TA3,,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,She was very kind and understanding at all times.
11/30/2023 15:02,11/30/2023 15:04,IP Address,206.12.14.200,100,118,TRUE,11/30/2023 15:04,R_3KYERRQ0f7ordEy,,,,,49.2293,-123.1882,anonymous,EN,L17 (Thursday PM),TA3,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
11/30/2023 15:03,11/30/2023 15:04,IP Address,128.189.218.146,100,105,TRUE,11/30/2023 15:04,R_3PGH8gFy7JdMoxz,,,,,49.2462,-123.108,anonymous,EN,L17 (Thursday PM),TA2,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Was always helpful when I asked him any questions. He was always respectful with all of us as well. 
11/30/2023 15:02,11/30/2023 15:05,IP Address,206.87.131.250,100,139,TRUE,11/30/2023 15:05,R_2AEbEWJWCTnDGrg,,,,,49.2476,-123.1234,anonymous,EN,L17 (Thursday PM),TA3,,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,The best TA! 
11/30/2023 15:02,11/30/2023 15:05,IP Address,128.189.69.74,100,137,TRUE,11/30/2023 15:05,R_3Rxz9hX553hiGOj,,,,,49.2624,-123.1604,anonymous,EN,L17 (Thursday PM),TA1,,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,She was always clear with instructions and was a super nice TA
11/30/2023 15:02,11/30/2023 15:05,IP Address,128.189.141.48,100,143,TRUE,11/30/2023 15:05,R_0qf4A92QX0PwwRX,,,,,49.2514,-123.0972,anonymous,EN,L17 (Thursday PM),TA3,,,Agree,Strongly Agree,Agree,Neutral,Agree,
11/30/2023 15:03,11/30/2023 15:05,IP Address,206.87.196.117,100,128,TRUE,11/30/2023 15:05,R_29rWvlBtBZQkhCA,,,,,49.2666,-123.1976,anonymous,EN,L17 (Thursday PM),TA3,,,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,He gave good criticism that helped me develop my lab skills. From his criticism I recognized errors in my work and weaknesses when performing practical activities. Overall a very good TA and I was very lucky to be in the B group
11/30/2023 15:02,11/30/2023 15:05,IP Address,128.189.89.102,100,154,TRUE,11/30/2023 15:05,R_1gjuF33wlx41tDD,,,,,49.213,-123.0951,anonymous,EN,L17 (Thursday PM),TA1,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,She was very kind and understanding at all times.
11/30/2023 15:02,11/30/2023 15:05,IP Address,206.12.140.28,100,173,TRUE,11/30/2023 15:05,R_3KuLG6XnC3qQZrd,,,,,49.282,-123.1103,anonymous,EN,L17 (Thursday PM),TA2,,,Neutral,Disagree,Neutral,Disagree,Neutral,
11/30/2023 15:03,11/30/2023 15:05,IP Address,104.28.116.18,100,173,TRUE,11/30/2023 15:05,R_21ByRSmV5LRIH2y,,,,,49.2476,-123.1234,anonymous,EN,L17 (Thursday PM),TA3,,,Strongly Agree,Agree,Agree,Agree,Neutral,Was always helpful when I asked him any questions. He was always respectful with all of us as well. 
11/30/2023 15:03,11/30/2023 15:06,IP Address,128.189.141.253,100,171,TRUE,11/30/2023 15:06,R_3n28gzTr1vrGXSs,,,,,49.2514,-123.0972,anonymous,EN,L17 (Thursday PM),TA3,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
