StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q1,Q2,Q3,Q4,Q5,Q6,Q20_1,Q20_2,Q20_3,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,1_Q21,1_Q22,1_Q23,1_Q24,1_Q25,1_Q26,2_Q21,2_Q22,2_Q23,2_Q24,2_Q25,2_Q26,3_Q21,3_Q22,3_Q23,3_Q24,3_Q25,3_Q26,6_Q21,6_Q22,6_Q23,6_Q24,6_Q25,6_Q26,7_Q21,7_Q22,7_Q23,7_Q24,7_Q25,7_Q26,8_Q21,8_Q22,8_Q23,8_Q24,8_Q25,8_Q26,9_Q21,9_Q22,9_Q23,9_Q24,9_Q25,9_Q26,10_Q21,10_Q22,10_Q23,10_Q24,10_Q25,10_Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Select your section:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID21-ChoiceGroup-SelectedChoices] was well prepared:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID21-ChoiceGroup-SelectedChoices] was helpful:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID21-ChoiceGroup-SelectedChoices] was considerate of students:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID21-ChoiceGroup-SelectedChoices] was easily understood:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID21-ChoiceGroup-SelectedChoices] was an effective instructor:,"Please comment below on what [QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID21-ChoiceGroup-SelectedChoices] did well and your suggestions for improving the course and the teaching effectiveness of [QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID21-ChoiceGroup-SelectedChoices].  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded).","Select the lab Resource Center TAs you wish to evaluate? If you do NOT wish to evaluate any lab Resource Center TAs, please go to the next question. - Priya Saini","Select the lab Resource Center TAs you wish to evaluate? If you do NOT wish to evaluate any lab Resource Center TAs, please go to the next question. - Tyrone Ly","Select the lab Resource Center TAs you wish to evaluate? If you do NOT wish to evaluate any lab Resource Center TAs, please go to the next question. - Jiayu Zhang","Select the lab Resource Center TAs you wish to evaluate? If you do NOT wish to evaluate any lab Resource Center TAs, please go to the next question. - Adam Xiao","Select the lab Resource Center TAs you wish to evaluate? If you do NOT wish to evaluate any lab Resource Center TAs, please go to the next question. - Ethan Rajkumar","Select the lab Resource Center TAs you wish to evaluate? If you do NOT wish to evaluate any lab Resource Center TAs, please go to the next question. - Julia Sawitski","Select the lab Resource Center TAs you wish to evaluate? If you do NOT wish to evaluate any lab Resource Center TAs, please go to the next question. - Poornima Wedamulla","Select the lab Resource Center TAs you wish to evaluate? If you do NOT wish to evaluate any lab Resource Center TAs, please go to the next question. - Alyona Kosovskykh",Priya Saini - [Field-1] was well prepared:,Priya Saini - [Field-1] was helpful:,Priya Saini - [Field-1] was considerate of students:,Priya Saini - [Field-1] was easily understood:,Priya Saini - [Field-1] was an effective instructor:,"Priya Saini - Please comment below on what [Field-1] did well and your suggestions for improving the course and the teaching effectiveness of [Field-1] .  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded).",Tyrone Ly - [Field-1] was well prepared:,Tyrone Ly - [Field-1] was helpful:,Tyrone Ly - [Field-1] was considerate of students:,Tyrone Ly - [Field-1] was easily understood:,Tyrone Ly - [Field-1] was an effective instructor:,"Tyrone Ly - Please comment below on what [Field-1] did well and your suggestions for improving the course and the teaching effectiveness of [Field-1] .  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded).",Jiayu Zhang - [Field-1] was well prepared:,Jiayu Zhang - [Field-1] was helpful:,Jiayu Zhang - [Field-1] was considerate of students:,Jiayu Zhang - [Field-1] was easily understood:,Jiayu Zhang - [Field-1] was an effective instructor:,"Jiayu Zhang - Please comment below on what [Field-1] did well and your suggestions for improving the course and the teaching effectiveness of [Field-1] .  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded).",Adam Xiao - [Field-1] was well prepared:,Adam Xiao - [Field-1] was helpful:,Adam Xiao - [Field-1] was considerate of students:,Adam Xiao - [Field-1] was easily understood:,Adam Xiao - [Field-1] was an effective instructor:,"Adam Xiao - Please comment below on what [Field-1] did well and your suggestions for improving the course and the teaching effectiveness of [Field-1] .  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded).",Ethan Rajkumar - [Field-1] was well prepared:,Ethan Rajkumar - [Field-1] was helpful:,Ethan Rajkumar - [Field-1] was considerate of students:,Ethan Rajkumar - [Field-1] was easily understood:,Ethan Rajkumar - [Field-1] was an effective instructor:,"Ethan Rajkumar - Please comment below on what [Field-1] did well and your suggestions for improving the course and the teaching effectiveness of [Field-1] .  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded).",Julia Sawitski - [Field-1] was well prepared:,Julia Sawitski - [Field-1] was helpful:,Julia Sawitski - [Field-1] was considerate of students:,Julia Sawitski - [Field-1] was easily understood:,Julia Sawitski - [Field-1] was an effective instructor:,"Julia Sawitski - Please comment below on what [Field-1] did well and your suggestions for improving the course and the teaching effectiveness of [Field-1] .  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded).",Poornima Wedamulla - [Field-1] was well prepared:,Poornima Wedamulla - [Field-1] was helpful:,Poornima Wedamulla - [Field-1] was considerate of students:,Poornima Wedamulla - [Field-1] was easily understood:,Poornima Wedamulla - [Field-1] was an effective instructor:,"Poornima Wedamulla - Please comment below on what [Field-1] did well and your suggestions for improving the course and the teaching effectiveness of [Field-1] .  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded).",Alyona Kosovskykh - [Field-1] was well prepared:,Alyona Kosovskykh - [Field-1] was helpful:,Alyona Kosovskykh - [Field-1] was considerate of students:,Alyona Kosovskykh - [Field-1] was easily understood:,Alyona Kosovskykh - [Field-1] was an effective instructor:,"Alyona Kosovskykh - Please comment below on what [Field-1] did well and your suggestions for improving the course and the teaching effectiveness of [Field-1] .  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded)."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID22"",""choiceId"":""1""}","{""ImportId"":""QID22"",""choiceId"":""2""}","{""ImportId"":""QID22"",""choiceId"":""3""}","{""ImportId"":""QID22"",""choiceId"":""6""}","{""ImportId"":""QID22"",""choiceId"":""7""}","{""ImportId"":""QID22"",""choiceId"":""8""}","{""ImportId"":""QID22"",""choiceId"":""9""}","{""ImportId"":""QID22"",""choiceId"":""10""}","{""ImportId"":""1_QID23""}","{""ImportId"":""1_QID24""}","{""ImportId"":""1_QID25""}","{""ImportId"":""1_QID26""}","{""ImportId"":""1_QID27""}","{""ImportId"":""1_QID28_TEXT""}","{""ImportId"":""2_QID23""}","{""ImportId"":""2_QID24""}","{""ImportId"":""2_QID25""}","{""ImportId"":""2_QID26""}","{""ImportId"":""2_QID27""}","{""ImportId"":""2_QID28_TEXT""}","{""ImportId"":""3_QID23""}","{""ImportId"":""3_QID24""}","{""ImportId"":""3_QID25""}","{""ImportId"":""3_QID26""}","{""ImportId"":""3_QID27""}","{""ImportId"":""3_QID28_TEXT""}","{""ImportId"":""6_QID23""}","{""ImportId"":""6_QID24""}","{""ImportId"":""6_QID25""}","{""ImportId"":""6_QID26""}","{""ImportId"":""6_QID27""}","{""ImportId"":""6_QID28_TEXT""}","{""ImportId"":""7_QID23""}","{""ImportId"":""7_QID24""}","{""ImportId"":""7_QID25""}","{""ImportId"":""7_QID26""}","{""ImportId"":""7_QID27""}","{""ImportId"":""7_QID28_TEXT""}","{""ImportId"":""8_QID23""}","{""ImportId"":""8_QID24""}","{""ImportId"":""8_QID25""}","{""ImportId"":""8_QID26""}","{""ImportId"":""8_QID27""}","{""ImportId"":""8_QID28_TEXT""}","{""ImportId"":""9_QID23""}","{""ImportId"":""9_QID24""}","{""ImportId"":""9_QID25""}","{""ImportId"":""9_QID26""}","{""ImportId"":""9_QID27""}","{""ImportId"":""9_QID28_TEXT""}","{""ImportId"":""10_QID23""}","{""ImportId"":""10_QID24""}","{""ImportId"":""10_QID25""}","{""ImportId"":""10_QID26""}","{""ImportId"":""10_QID27""}","{""ImportId"":""10_QID28_TEXT""}"
2/24/2023 12:23,2/24/2023 12:24,Survey Preview,,100,57,TRUE,2/24/2023 12:24,R_baw7L1SudDWmSdP,,,,,49.4635,-122.822,preview,EN,Thursday AM (9:30 AM - 12:30 PM),John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2023 16:11,2/24/2023 16:11,IP Address,137.82.59.106,43,16,FALSE,3/3/2023 16:11,R_1LDLHwBslXnkl69,,,,,,,anonymous,EN,,,Jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2023 16:13,2/24/2023 16:20,IP Address,23.16.86.239,13,417,FALSE,3/3/2023 16:20,R_3e2HTKIhhfjtQZ2,,,,,,,anonymous,EN,Tuesday PM (2:00 PM - 5:00 PM),,,Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2023 10:13,8/11/2023 10:14,IP Address,154.5.210.51,100,52,TRUE,8/11/2023 10:14,R_3IRiI6r4hP1rcnj,,,,,50.5536,-119.1316,anonymous,EN,Tuesday AM (9:30 AM - 12:30 PM),,,,Jenny,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2023 10:13,8/11/2023 10:15,IP Address,207.6.14.15,100,115,TRUE,8/11/2023 10:15,R_xgczDdIDKrqtfEZ,,,,,49.1617,-123.175,anonymous,EN,Thursday PM (2:00 PM - 5:00 PM),,,,,Omar,,,Neutral,Agree,Agree,Agree,Disagree,,,,,Mike,,Mary,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Commet 1,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Comment TA 2,,,,,,,,,,,,
8/11/2023 10:13,8/11/2023 10:15,IP Address,108.173.68.245,100,174,TRUE,8/11/2023 10:15,R_3MthWN3jIL7MHEO,,,,,51.0406,-114.0764,anonymous,EN,Thursday AM (9:30 AM - 12:30 PM),,,,,,Kate,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2023 10:13,8/11/2023 10:15,IP Address,24.114.22.95,100,149,TRUE,8/11/2023 10:16,R_vBSQXaQeFn0yaoV,,,,,51.0807,-113.9572,anonymous,EN,Friday PM (2:00 PM - 5:00 PM),,,,,,,Andrew,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
