StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q13,Q14,Q18,Q15,Q16,Q17,Q1,Q2,Q3,Q4,Q5,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Select your section:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,Select the TA you wish to evaluate:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] was well prepared:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] was helpful:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] was considerate of students:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] was easily understood:,[QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] was an effective instructor:,"Please comment below on what [QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices] did well and your suggestions for improving the course and the teaching effectiveness of [QID15-ChoiceGroup-SelectedChoices][QID16-ChoiceGroup-SelectedChoices][QID20-ChoiceGroup-SelectedChoices][QID17-ChoiceGroup-SelectedChoices][QID18-ChoiceGroup-SelectedChoices][QID19-ChoiceGroup-SelectedChoices][QID22-ChoiceGroup-SelectedChoices].  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded)."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID20""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}"
3/22/2023 11:59,3/22/2023 12:00,IP Address,128.189.221.6,100,24,TRUE,3/22/2023 12:00,R_1djnsn9bjh22Pvs,,,,,49.2359,-123.153,anonymous,EN,L26 (Thursday AM),,Jose,,,,,Strongly Agree,Agree,Agree,Agree,Agree,
3/22/2023 11:59,3/22/2023 12:00,IP Address,24.244.23.89,100,21,TRUE,3/22/2023 12:00,R_3Etpfq82LaYea8K,,,,,49.245,-123.1337,anonymous,EN,L26 (Thursday AM),,,John,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
3/22/2023 11:59,3/22/2023 12:02,IP Address,154.5.124.117,100,210,TRUE,3/22/2023 12:02,R_2woDWTC0bgkHCrH,,,,,49.2584,-123.1456,anonymous,EN,L27 (Thursday PM),,,,Wendy,,,Agree,Disagree,Neutral,Strongly Agree,Neutral,
3/22/2023 12:05,3/22/2023 12:06,IP Address,206.12.161.21,100,68,TRUE,3/22/2023 12:06,R_DJl8UAEjVSw5i9P,,,,,49.4635,-122.822,anonymous,EN,L26 (Thursday AM),,,,,Jenny,,Stongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,
3/22/2023 12:18,3/22/2023 12:22,IP Address,206.87.120.207,100,210,TRUE,3/22/2023 12:22,R_1hSzcrQpBdZ7AGe,,,,,49.4635,-122.822,anonymous,EN,L25 (Wednesday PM),,,,,,Omar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
